车站,高铁计数,高德经纬度(缺240暂不分列）,,,,
带岭站,0,"129.020946,47.023586",,,129.020946,47.023586
丹东站,73,"124.386026,40.123754",,,124.386026,40.123754
丹东西站,5,"124.354706,40.000499",,,124.354706,40.000499
丹凤站,0,"110.354370,33.680005",,,110.35437,33.680005
丹徒站,4,"119.520269,32.114958",,,119.520269,32.114958
丹霞山站,0, ,,,0,0
丹阳站,117,"119.592629,32.002104",,,119.592629,32.002104
丹阳北站,27,"119.671292,32.015000",,,119.671292,32.015
当涂东站,14,"118.526470,31.561131",,,118.52647,31.561131
当雄站,0, ,,,0,0
当阳站,0,"111.812220,30.847601",,,111.81222,30.847601
砀山站,0,"116.330079,34.416814",,,116.330079,34.416814
砀山南站,33,"116.303072,34.386902",,,116.303072,34.386902
刀尔登站,0,"119.122643,40.749363",,,119.122643,40.749363
到保站,3,"123.178001,45.604053",,,123.178001,45.604053
道滘站,62,"113.674927,23.004402",,,113.674927,23.004402
道劳杜站,0,"101.490448,31.593363",,,101.490448,31.593363
道清站,0,"126.288048,41.844486",,,126.288048,41.844486
道州站,0,"111.569794,25.515585",,,111.569794,25.515585
得耳布尔站,0,"121.078423,50.993248",,,121.078423,50.993248
德安站,57,"115.767369,29.309695",,,115.767369,29.309695
德保站,0, ,,,0,0
德伯斯站,0,"121.364838,46.493187",,,121.364838,46.493187
德昌站,0,"102.186531,27.395733",,,102.186531,27.395733
德惠站,0,"125.717250,44.533519",,,125.71725,44.533519
德惠西站,36,"125.677393,44.545863",,,125.677393,44.545863
德令哈站,0,"97.383729,37.315419",,,97.383729,37.315419
德清站,66,"120.060249,30.544611",,,120.060249,30.544611
德清西站,0,"119.958171,30.535254",,,119.958171,30.535254
德仁站,0,"124.935577,42.940636",,,124.935577,42.940636
德日斯图站,0,"112.945259,42.339096",,,112.945259,42.339096
德兴站,13,"117.860275,28.957908",,,117.860275,28.957908
德兴东站,2,"117.958922,29.116522",,,117.958922,29.116522
德阳站,77,"104.390024,31.166105",,,104.390024,31.166105
德州站,0,"116.288562,37.449441",,,116.288562,37.449441
德州东站,138,"116.461465,37.409545",,,116.461465,37.409545
灯塔站,0,"123.317788,41.430353",,,123.317788,41.430353
登沙河站,8,"122.068842,39.222447",,,122.068842,39.222447
邓州站,0,"112.070998,32.683058",,,112.070998,32.683058
低窝铺站,0,"97.242966,40.142712",,,97.242966,40.142712
低庄站,0,"110.715660,28.049250",,,110.71566,28.04925
滴道站,0,"130.832656,45.345981",,,130.832656,45.345981
甸心站,0,"101.718788,25.315063",,,101.718788,25.315063
垫江站,37,"107.378553,30.307247",,,107.378553,30.307247
鼎湖东站,31,"112.659835,23.213806",,,112.659835,23.213806
鼎湖山站,29,"112.586987,23.174288",,,112.586987,23.174288
定边站,0,"107.576668,37.561589",,,107.576668,37.561589
定南站,0,"115.005151,24.774885",,,115.005151,24.774885
定陶站,0,"115.595693,35.064832",,,115.595693,35.064832
定西站,0,"104.625248,35.592125",,,104.625248,35.592125
定西北站,35,"104.602773,35.615685",,,104.602773,35.615685
定襄站,0,"112.960386,38.478924",,,112.960386,38.478924
定远站,21,"117.688744,32.525436",,,117.688744,32.525436
定州站,1,"114.973125,38.529896",,,114.973125,38.529896
定州东站,39,"115.075120,38.508258",,,115.07512,38.508258
东安东站,23,"111.337262,26.377544",,,111.337262,26.377544
东边井站,0,"127.112198,47.411083",,,127.112198,47.411083
东城南站,61,"116.383452,39.868376",,,116.383452,39.868376
东大坝站,0,"117.825333,41.665043",,,117.825333,41.665043
东戴河站,2,"119.847496,40.041939",,,119.847496,40.041939
东二道河站,0, ,,,0,0
东方站,26,"108.691870,19.088237",,,108.69187,19.088237
东方红站,0,"110.038420,18.504642",,,110.03842,18.504642
东丰站,0,"125.545818,42.654436",,,125.545818,42.654436
东富站,0,"126.894310,44.366787",,,126.89431,44.366787
东港北站,15,"124.132004,39.911136",,,124.132004,39.911136
东沟门站,0,"119.079849,40.922100",,,119.079849,40.9221
东莞站,170,"113.859201,23.089194",,,113.859201,23.089194
东莞东站,0,"114.039049,22.967168",,,114.039049,22.967168
东光站,0,"116.576741,37.879439",,,116.576741,37.879439
东海站,0, ,,,0,0
东海县站,0,"118.752842,34.542309",,,118.752842,34.542309
东京城站,0,"129.224792,44.118546",,,129.224792,44.118546
东来站,0,"121.642075,43.390038",,,121.642075,43.390038
东明村站,0, ,,,0,0
东明县站,0,"115.092232,35.268604",,,115.092232,35.268604
东南营子站,0,"119.151146,42.308746",,,119.151146,42.308746
东坡站,0,"104.142654,29.999790",,,104.142654,29.99979
东升站,4,"129.330246,47.119862",,,129.330246,47.119862
东胜西站,4,"109.875557,39.72425",,,109.875557,39.72425
东台站,0,"120.344031,32.874295",,,120.344031,32.874295
东田良站,0,"112.935005,36.003181",,,112.935005,36.003181
东通化站,0,"126.044286,41.770940",,,126.044286,41.77094
东湾站,0,"104.745552,36.651337",,,104.745552,36.651337
东乡站,0,"116.625603,28.227055",,,116.625603,28.227055
东辛庄站,0,"120.453285,40.360703",,,120.453285,40.360703
东兴站,0,"107.976216,21.549697",,,107.976216,21.549697
东营站,0,"118.472306,37.455359",,,118.472306,37.455359
东营南站,0,"118.549658,37.356699",,,118.549658,37.356699
东营子站,0, ,,,0,0
东淤地站,0,"113.907021,39.263119",,,113.907021,39.263119
东元庆站,0,"112.939476,35.570473",,,112.939476,35.570473
东镇站,0,"111.312622,35.427555",,,111.312622,35.427555
东至站,0,"117.020427,30.100037",,,117.020427,30.100037
东庄站,0,"113.830231,39.266155",,,113.830231,39.266155
氡泉站,0,"127.176018,42.128147",,,127.176018,42.128147
洞井站,20,"113.012184,28.099360",,,113.012184,28.09936
洞庙河站,0,"117.694443,40.571629",,,117.694443,40.571629
